3000 3
-4.081569283807841 -10.116557701620893 -7.510313892688585 
-7.468089086566883 3.2229854472501724 4.822901517583848 
-8.479916147947145 3.7411952340637167 4.866628346228261 
-7.960097296734675 1.235793225601208 6.214785608574964 
-1.7651929482483344 -2.4508009584814046 -3.7625326664601486 
-2.738256554286619 -5.009680205619648 -3.9496215300165414 
-3.5745820693135344 -8.433643628377668 -7.9085401273325955 
-9.020745313008858 4.1764950674532315 7.852702713944969 
-1.501068707173802 -1.5588242124738287 -3.709316255302152 
-2.054369464365392 -2.750991017691321 -4.802139352891579 
-1.489959485518535 -8.23607797813147 -10.393126047896493 
-1.7623326290152805 -4.246300056865659 -2.869187365978144 
-1.8156010771321878 -4.590812588570975 -4.085311964375568 
-0.3798434344589998 -2.8048402049263608 -5.346533080571065 
-1.793077674418112 -6.734302208485152 -10.222466403492879 
-7.327660672971907 2.8276976905904667 4.64148320669562 
-2.8060072918314 -4.49501715250436 -4.622358147873984 
-8.144399443496537 4.9224976662590985 4.498374052299681 
-1.2668820971995596 -1.124773297203002 -3.617450537895724 
-8.877683294137453 3.885648099053027 4.5461373191924235 
-8.44656861458772 4.213500719663802 3.975448526815351 
-2.5233026367179106 -4.993508322009181 -3.324900366377152 
-0.11453911797779659 -4.2394334489004715 -5.468735545470926 
-2.8870911808633233 -6.7021892290628795 -8.954597372119723 
-2.361448535327297 -6.960320005619107 -6.475534522953026 
-1.7375167199487676 -2.102421744118695 -2.8025391605489727 
-8.847943552349811 6.095848583925049 6.471065180998595 
-2.041027900072819 -2.5427840276522273 -3.1522332775798407 
-2.0224796664848768 -3.4627340214316917 -5.1891379233850135 
-0.9268184999585192 -1.867019929577957 -3.2078749585379596 
-3.688800416122631 -7.399064911403021 -11.953322807963898 
-1.8810754839985169 -3.159939353629472 -3.472892024119052 
-4.474158802180987 -8.210558229950164 -9.290153957984126 
-8.11693753122393 3.2609951120915843 5.460348204499433 
-3.0399652545311704 -8.353581099655784 -7.938117254979474 
-2.7827084995648614 -7.484927394198127 -9.169582965831733 
-8.209264177449189 4.047807435291366 4.233989397065914 
-8.983558228980897 3.4729767425729046 6.108886464820441 
-6.490266419196023 3.585410670039989 4.512568555212114 
-8.219488132152186 3.577269012127935 3.7574696871547517 
-7.907844268923727 4.849366024636701 3.6881483503529378 
-2.846553103567085 -8.685965445171375 -8.65762116445038 
-0.9576189656577903 -1.0691598124470576 -3.3691821104083655 
-3.4342896016093314 -7.079165238406965 -8.690688456559446 
-2.2215821474603303 -7.098031555450616 -8.202718162296817 
-4.371360970506645 -8.263573212900935 -8.531011791016061 
-3.2615358933513754 -1.3940542222396908 -4.068141656302652 
-9.00507184681588 2.9874754997530113 4.524838081748791 
-8.5836183138587 3.435439998508185 4.428062614164353 
-0.9151205075679889 -9.670613050904503 -9.201716265778701 
-2.561149996305224 -5.951101891280288 -9.730549351526728 
-7.01183964332828 4.039099848873657 5.527725694369213 
-2.2087149189945072 -6.746125103707678 -7.725677369889715 
-1.655319737743915 -8.350712084590565 -8.027991384007484 
-8.206193197575107 4.025255308588838 5.242184844827649 
-1.9970217564959458 -5.8242515473821435 -3.3618030766496836 
-2.1651184402109775 -7.887804294234936 -8.552517993192838 
-2.680368192161825 -4.1204518339813525 -4.209120237428373 
-8.411550848712283 4.726385507784235 6.24713970393376 
-1.5728530926146882 -9.543836229006464 -6.854823774774267 
-2.3856768266710127 -4.9136336390127475 -3.7441088934742415 
-7.201676644459887 2.187966961148552 6.329177168952894 
-1.6371236513408907 -4.14034933761347 -4.3396688089116555 
-2.1545119657696796 -8.658011653709119 -9.630216242331214 
-2.578366184926481 -8.039407995191032 -10.479132442581957 
